food_item,image_found,image_processed,uploaded,drive_link
Egg Omelette,True,True,True,https://drive.google.com/file/d/15CSbQf18BJ0Gd4jtdlZMrG2TG6ITgtdL/view?usp=drivesdk
Veg Schezwan Noodles,True,True,True,https://drive.google.com/file/d/1qPnLXR_2MQQTc2koTIDmtEw-VK_rLuoN/view?usp=drivesdk
Chicken Pot Fried Rice Paneer Manchurian,True,True,True,https://drive.google.com/file/d/1-25_vVXIpc2MbGg3O-R7MQ2jgN7QI0_Y/view?usp=drivesdk
Chicken KL Special Fried Rice,True,True,True,https://drive.google.com/file/d/13aymB7Uel8xl4-n4jWjSnXbxImjHC-2C/view?usp=drivesdk
Chicken Peshawari,True,True,True,https://drive.google.com/file/d/13JnaGdX7p1yibAFLp_p-56aaHEhb0R-U/view?usp=drivesdk
Mutton Kala Masala Dal Palak,True,True,True,https://drive.google.com/file/d/19KhyWiat4RvUy6KoD5LrDGRmlHgWUg1W/view?usp=drivesdk
Veg Manchurian Noodles,True,True,True,https://drive.google.com/file/d/1V5xKIdTaB4ucjl0O8uHfkRXXMYm0JWBj/view?usp=drivesdk
Chicken Angara Kebab,True,True,True,https://drive.google.com/file/d/1rkcF-5bzBDgrMkyZXeoRG1QJfaZ1dOm3/view?usp=drivesdk
Chicken Oily Fry Fingers Chips,True,True,True,https://drive.google.com/file/d/1bCJD4q7WRBM_ZjA5vOfsATSzTOF5PIS2/view?usp=drivesdk
Chicken Dragon,True,True,True,https://drive.google.com/file/d/1Cawj0e2dgYvsrdukqS5DGH8A6kVOcYw5/view?usp=drivesdk
Chicken Hong Kong Fried Rice,True,True,True,https://drive.google.com/file/d/1N9gLK5tqXNdP0qFyqjqVjRouXx81zwd4/view?usp=drivesdk
Chicken Lollipop Gravy,True,True,True,https://drive.google.com/file/d/1YuO9tCiDy2oqPYuDE1qOnD-hqc1Pkfa5/view?usp=drivesdk
Veg Manchurian Gravy Mutton Lucknow Biryani,True,True,True,https://drive.google.com/file/d/1PxqB2ZfzEyC9fFQgvQnhCDAcpPXDx0Yy/view?usp=drivesdk
Chicken Chilli Gravy,True,True,True,https://drive.google.com/file/d/1oD6Sj7f3VVlYeztkUmT-r2PZRBqeK_Mt/view?usp=drivesdk
Paneer Lehsuni Kebab Paneer Malai Tikka,True,True,True,https://drive.google.com/file/d/1uOUVSPWyA9HtTU1GvcDBNkG32cLXLDc8/view?usp=drivesdk
Chicken Singapuri Fried Rice,True,True,True,https://drive.google.com/file/d/1WN2VlBUrzs7V_BnDsXzVHLkqMEyHvR69/view?usp=drivesdk
Cream of Tomato Soup Chicken Kadai,True,True,True,https://drive.google.com/file/d/1BheK5O_BTMGaVdIt_qmz4zIjz_Nj-lXD/view?usp=drivesdk
Veg Patiala,True,True,True,https://drive.google.com/file/d/134Js7CaeyegAwVgcghc7gSfWDqblpHaQ/view?usp=drivesdk
KL Special Mutton Biryani,True,True,True,https://drive.google.com/file/d/1ztdZhPdyJ53h7QrV-5XCEINq3TEOUpGp/view?usp=drivesdk
Veg Manchurian Soup Veg Kadai,True,True,True,https://drive.google.com/file/d/1uvxfyDz-UoMDVNb0k6qKGHFfk_69uVHe/view?usp=drivesdk
Classic Paneer Tikka,True,True,True,https://drive.google.com/file/d/1gF3CYv9OIndfD4amD2rH_oYy5Rvt38MC/view?usp=drivesdk
Chicken Hyderabadi,True,True,True,https://drive.google.com/file/d/1JT3RfOS_mw3CI_7wCt-vRznndRNhfW_k/view?usp=drivesdk
Chicken Junglee Fry Chicken Tiranga Kebab,True,True,True,https://drive.google.com/file/d/1okiAdQJ19RPIuYKKfMRn3-86kb_gDNUw/view?usp=drivesdk
Veg Chowmein,True,True,True,https://drive.google.com/file/d/1CRLcaSaRrWaVjqlPUzuFEl06UUujn7Ke/view?usp=drivesdk
Chicken Lollipop Chicken Tandoori,True,True,True,https://drive.google.com/file/d/1iw4l9IynuNkUU37F_DuOqy1i5Hh-gBN3/view?usp=drivesdk
Chicken Chilli,True,True,True,https://drive.google.com/file/d/19PsecpyrulMJBHloqyS7bU3aumDumAZe/view?usp=drivesdk
Dal Khichdi Tadka Chicken Manchow Soup,True,True,True,https://drive.google.com/file/d/1Dk3BR0ggMorp0dVyzV6L9RaYpaYLhjGH/view?usp=drivesdk
Chicken Hakka Noodles Chicken Fried Rice,True,True,True,https://drive.google.com/file/d/1k9gNhVY9iyvqdm-tKywYIvTrNwVjLUQx/view?usp=drivesdk
Paneer Tikka Masala Paneer ChillI,True,True,True,https://drive.google.com/file/d/1Sal-ijmR5foz-3YaKCyTiA_wUcEopDxs/view?usp=drivesdk
Chicken Biryani,True,True,True,https://drive.google.com/file/d/1Nb3VMdimSxjEfjqd7clnuZwC73orFaK-/view?usp=drivesdk
Veg Crispy Egg Fried Rice,True,True,True,https://drive.google.com/file/d/1Lji4JJJQRp8KqtoMx-gX06HDihVhcI86/view?usp=drivesdk
Chicken Tikka,True,True,True,https://drive.google.com/file/d/1YMSwvWVpnfTZL7L03MD14fGCSvFI6UKH/view?usp=drivesdk
Chicken Schezwan Noodles Chicken Pahadi Kebab,True,True,True,https://drive.google.com/file/d/1Ig0liPLdfcAn7Bw1aLmgfg5J79R2GFNa/view?usp=drivesdk
